record_date,user_id,power_consumption
2016/9/2,20,1
2016/9/3,20,1
2016/9/4,20,1
2016/9/1,49,1
2016/9/2,49,1
2016/9/3,49,1
2016/9/4,49,1
2016/9/5,49,1
2016/9/6,49,1
2016/9/7,49,1
2016/9/8,49,1
2016/9/9,49,1
2016/9/10,49,1
2016/9/11,49,1
2016/9/12,49,1
2016/9/13,49,1
2016/9/14,49,1
2016/9/15,49,1
2016/9/16,49,1
2016/9/17,49,1
2016/9/18,49,1
2016/9/19,49,1
2016/9/20,49,1
2016/9/21,49,1
2016/9/22,49,1
2016/9/23,49,1
2016/9/24,49,1
2016/9/25,49,1
2016/9/26,49,1
2016/9/27,49,1
2016/9/28,49,1
2016/9/29,49,1
2016/9/30,49,1
2016/9/1,117,1
2016/9/2,117,1
2016/9/3,117,1
2016/9/4,117,1
2016/9/5,117,1
2016/9/6,117,1
2016/9/7,117,1
2016/9/8,117,1
2016/9/9,117,1
2016/9/10,117,1
2016/9/11,117,1
2016/9/12,117,1
2016/9/13,117,1
2016/9/14,117,1
2016/9/15,117,1
2016/9/16,117,1
2016/9/17,117,1
2016/9/18,117,1
2016/9/19,117,1
2016/9/20,117,1
2016/9/21,117,1
2016/9/22,117,1
2016/9/23,117,1
2016/9/24,117,1
2016/9/25,117,1
2016/9/26,117,1
2016/9/27,117,1
2016/9/28,117,1
2016/9/29,117,1
2016/9/30,117,1
2016/9/1,151,1
2016/9/2,151,1
2016/9/3,151,1
2016/9/4,151,1
2016/9/5,151,1
2016/9/6,151,1
2016/9/7,151,1
2016/9/8,151,1
2016/9/9,151,1
2016/9/10,151,1
2016/9/11,151,1
2016/9/12,151,1
2016/9/13,151,1
2016/9/14,151,1
2016/9/15,151,1
2016/9/16,151,1
2016/9/17,151,1
2016/9/18,151,1
2016/9/19,151,1
2016/9/20,151,1
2016/9/21,151,1
2016/9/22,151,1
2016/9/23,151,1
2016/9/24,151,1
2016/9/25,151,1
2016/9/26,151,1
2016/9/27,151,1
2016/9/28,151,1
2016/9/29,151,1
2016/9/30,151,1
2016/9/4,177,1
2016/9/6,177,1
2016/9/1,259,1
2016/9/2,259,1
2016/9/3,259,1
2016/9/4,259,1
2016/9/5,259,1
2016/9/6,259,1
2016/9/7,259,1
2016/9/8,259,1
2016/9/9,259,1
2016/9/10,259,1
2016/9/11,259,1
2016/9/12,259,1
2016/9/13,259,1
2016/9/14,259,1
2016/9/15,259,1
2016/9/16,259,1
2016/9/17,259,1
2016/9/18,259,1
2016/9/19,259,1
2016/9/20,259,1
2016/9/21,259,1
2016/9/22,259,1
2016/9/23,259,1
2016/9/24,259,1
2016/9/25,259,1
2016/9/26,259,1
2016/9/27,259,1
2016/9/28,259,1
2016/9/29,259,1
2016/9/30,259,1
2016/9/28,343,1
2016/9/30,343,1
2016/9/4,368,1
2016/9/14,368,1
2016/9/1,413,1
2016/9/2,413,1
2016/9/3,413,1
